,comments,clean_comments,prediction
3081,"Ich würde ein Format begrüssen, in dem wir Wünsche einreichen dürfen, was wir uns noch wünschen! Das viele Plastik stört auch mich, andere (vegane) Produkte sind aber nicht besser. Das ist eine aktuelle Thematik...für jeden Bereich! Allerdings finde ich es bei Lebensmitteln vertretbarer. Zb badezimmer-Kram in Dosen oder Papier? JA. Kleidung ohne Folie (finde da leider schlimm -jedes teil extra verpackt) JA. Lebensmittel, grade aus der Frischetheke, gehören schon in Plastik, meiner meinung nach. Allerdings gibt es doch mittlerweile Plastik (aus Hanf) das sich Recycelt? Allerdings ist das nicht alleine das Problem von Rügenwalder, alle sollten mitziehen!","format begruss , wunsch einreich durf , wunsch ! viel plastik stort , ( vegan ) produkt nicht bess . aktuell themat ... bereich ! allerding find lebensmitteln vertretbar . zb badezimmer-kram dos papi ? ja . kleidung foli ( find leid schlimm -jed teil extra verpackt ) ja . lebensmittel , grad frischethek , gehor schon plastik , meinung . allerding gibt mittlerweil plastik ( hanf ) recycelt ? allerding nicht allein probl rugenwald , sollt mitzieh !",0
3082,"Gestern die veganen Cordon Bleus probiert. So lecker  danke, dass ihr den Genuss möglich macht ","gest vegan cordon bleus probiert . leck dank , genuss moglich macht",1
3083,Eure vegane Salami schmeckt wie die Mettwurst aus meiner Kinderzeit. Das haben die Fleischvarianten nie geschafft ,vegan salami schmeckt mettwurst kinderzeit . fleischvariant nie geschafft,1
3090,"Eure veganen Produkte sind wirklich super, macht weiter so! ","vegan produkt wirklich sup , macht !",1
3092,"Die vegane Teewurst ist super geraten! Schmeckt wirklich exakt wie die fleischige Variante. Ihr macht da einen tollen Job, haltet Kurs!","vegan teewurst sup gerat ! schmeckt wirklich exakt fleischig variant . macht toll job , haltet kur !",1
3094,"Finde es super, dass ihr immer mehr vegane Produkte herstellt, die auch echt lecker sind! Mag die Teewurst sehr sehr gern und der Schinkenspicker ist auch sehr lecker! Verbessern kann man sich immer weiter, sofern man sich auch dessen bewusst ist - was ihr ja offensichtlich seid!  Fänd es super, wenn ihr bald diese Snackwürstchen vegan machen würdet ","find sup , imm mehr vegan produkt herstellt , echt leck ! mag teewurst sehr sehr gern schinkenspick sehr leck ! verbess imm , sof bewusst - ja offensicht seid ! fand sup , bald snackwurstch vegan wurdet",1
3102,"Tolle Idee, um die Beliebtheit des veganen Hacks weiter zu verbreiten. Danke ","toll ide , beliebt vegan hack verbreit . dank",1
3103,Ich liebe eure neue Werbung von den veganen Produkten als Alternative zu Fleisch auch hinsichtlich der Proteine,lieb neu werbung vegan produkt alternativ fleisch hinsicht protein,1
3104,"Mal eine allgemeine und nicht bös' gemeinte Frage: Bei euch geht es mit und ohne Fleisch? Alleine schon das ist widersprüchlich. Ihr unterstützt also beide Seiten. Und das verstehe ich nicht. Wieso legt ihr euch nicht auf eine Sache fest anstatt zwei Sachen zu machen die vollkommen widersprüchlich sind? Beim Kauf eurer Produkte hätte ich so kein ganz so gutes Gewissen wie bei anderen Marken die zu 100% hinter dem veganen Denken stehen. So wirkt es eher, als würde man bloß vegane Produkte produzieren weil man weiß, dass mehrere Menschen vegane Produkte wollen und nicht, weil man wirklich dahinter steht. Euren Gedanken dahinter würde ich wirklich gerne verstehen - deshalb würde ich mich über eine Antwort diesbezüglich freuen. ","allgemein nicht bos ' gemeint frag : geht fleisch ? allein schon widerspruch . unterstutzt beid seit . versteh nicht . wieso legt nicht sach fest anstatt zwei sach vollkomm widerspruch ? beim kauf produkt hatt ganz gut gewiss mark 100 % vegan denk steh . wirkt eher , bloss vegan produkt produzi weiss , mehr mensch vegan produkt nicht , wirklich dahint steht . gedank dahint wirklich gern versteh - deshalb antwort diesbezug freu .",0
3117,Wird es die vegetarischen Würstchen auch bald in vegan geben? Sie fehlen mir so sehr. ,vegetar wurstch bald vegan geb ? fehl sehr .,1
3118,"Wichtig wäre, dass erstmal die Produkte, die es bisher gibt, vegan werden. Ich liebe die Wiener, kaufe sie aber selten, da sie nicht vegan sind.","wichtig war , erstmal produkt , bish gibt , vegan . lieb wien , kauf selt , nicht vegan .",1
3119,"Dass Rügenwalder vegan wird, hätte ich NIEMALS für möglich gehalten!!!! TipTop mega Entwicklung. Werde ALLES kaufen!","rugenwald vegan , hatt niemal moglich gehalt ! ! ! ! tiptop mega entwickl . kauf !",1
3121,veganes Gulasch ,vegan gulasch,1
3126,"Habt ihr auch an die Veganer gedacht, die eine Sojaallergie haben?  Leider ist oft Soja versteckt in veganen Produkten. ","habt vegan gedacht , sojaallergi ? leid oft soja versteckt vegan produkt .",1
3135,Mega! Danke! Und als nächstes bitte den Schinken spicker Salat in vegan ,mega ! dank ! nach bitt schink spick salat vegan,1
3137,Ihr seid meine Helden! Vielen Dank für all die veganen Produkte ,seid held ! viel dank all vegan produkt,1
3149,Wie wäre es mit veganem würfelspeck? ,war vegan wurfelspeck ?,1
3153,Die vegane Salami schmeckt spitze! Besser als die vegetarische.... Jetzt fehlen für uns nur noch die veganen Wiener! ,vegan salami schmeckt spitz ! bess vegetar .... fehl vegan wien !,1
3155,Yesss love it  & die veganen Nuggets erst  jetzt fehlen nur noch vegane Salami Würstchen ,yesss lov it & vegan nugget erst fehl vegan salami wurstch,1
3168,"Einfach toll in welche Richtung ihr euch entwickelt. Mit dem veganen Hack habt ihr sogar meinen Freund überzeugt, der sondt sehr skeptisch bei veganen Ersatzprodukten ist. Ihr leistet Wunderbares. Tolle Arbeit, weiter so! ","einfach toll richtung entwickelt . vegan hack habt sogar freund uberzeugt , sondt sehr skeptisch vegan ersatzprodukt . leistet wunderbar . toll arbeit , !",1
3176,"Bitte macht aus allen vegetarischen Produkten vegane!Besser für Mensch, Tier und Umwelt","bitt macht vegetar produkt vegan ! bess mensch , tier umwelt",1
3177,"Cool wäre auch zb französische Salami  Dh, das Delikatessen-Segment erobern. Danke für eure tollen Produkte. Ich freue mich so sehr, dass ihr so viel Werbung macht und vegan so salonfähig wird. ","cool war zb franzos salami dh , delikatessen-segment erob . dank toll produkt . freu sehr , werbung macht vegan salonfah .",1
3179,es ist zwar nicht euer übliches sortiment aber wie wärs denn mal mit veganem bacon? nur son gedanke,nicht ublich sortiment war vegan bacon ? son gedank,1
3181,Die vegetarischen Mühlen Würstchen und Mini Salamis in vegan wären toll!,vegetar muhl wurstch mini salamis vegan war toll !,1
3188,"Ihr seid super, dass ihr so viele vegane Produkte macht und euch so drauf konzentriert","seid sup , viel vegan produkt macht drauf konzentriert",1
3197,"1000 Dank, wirklich, für jedes vegane Produkt ","1000 dank , wirklich , vegan produkt",1
3206,Ich möchte Kochschinken  #vegan,mocht kochschink # vegan,1
3207,Ihr habt so lange gewartet und nun ist sie endlich da…die Vegane Mühlen Salami!  Die Sorten Klassisch und Bunter Pfeffer findet ihr schon bald in der veganen Variante im Kühlregal. #veggie #vegan #rügenwaldermühle,habt lang gewartet endlich da…di vegan muhl salami ! sort klassisch bunt pfeff findet schon bald vegan variant kuhlregal . # veggi # vegan # rugenwaldermuhl,1
3212,das sind die veganen Produkte canim. Sind mega,vegan produkt canim . mega,1
3213,"die vegane Salami hat überhaupt nichts mit ""echter"" Salami am Hut.. Es kann ja nicht so schwer sein, zumindest ähnliche Gewürze zu verwenden?! Sie riecht nicht lecker und schmeckt nach nichts. Wird nie wieder gekauft. Schade!","vegan salami uberhaupt nicht `` echt '' salami hut .. ja nicht schwer , zumind ahnlich gewurz verwend ? ! riecht nicht leck schmeckt nicht . nie gekauft . schad !",0
3218,Ich liebe die vegane Salami  Kann nicht mehr ohne. Schmeckt mir sogar besser als die Fleischsalami! Weiter so ,lieb vegan salami nicht mehr . schmeckt sogar bess fleischsalami !,1
3222,Warum gibt es denn die vegetarische Variante nicht mehr ?  Die Konsistenz der veganen ist echt nicht mehr schön...und wenn man auf Weizen weitgehend verzichtet geht das damit nun auch nicht mehr ,warum gibt vegetar variant nicht mehr ? konsistenz vegan echt nicht mehr schon ... weiz weitgeh verzichtet geht nicht mehr,0
3223,"Beste, beste BEEEESTE vegane Salami die ich je gegessen habe !!  Vielen Dank dafür ! ","best , best beeeest vegan salami je gegess ! ! viel dank dafur !",1
3226,"Ich mag die Salami sehr gerne - aber ich hab ein echtes Problem mit den Unmengen von Verpackung, die anfallen, wenn ich für die größtenteils vegane/vegetarische Familie einkaufe. Wäre es nicht möglich, vielleicht zumindest auch Großpackungen anzubieten? Ich hoffe ja sehr darauf, dass es eines Tages eine vegane/vegetarische Unverpackt-Bedientheke gibt!","mag salami sehr gern - echt probl unmeng verpack , anfall , grosstenteil vegane/vegetar famili einkauf . war nicht moglich , vielleicht zumind grosspack anzubiet ? hoff ja sehr darauf , tag vegane/vegetar unverpackt-bedienthek gibt !",1
3228,Bitte noch die Wiener in vegan rausbringen ,bitt wien vegan rausbring,1
3229,"Hallo zusammen  Vegetarischen Produkten, z.B der vegetarischen Wurst, wird oft nachgesagt, dass viel Chemie eingesetzt wird um den Fleischgeschmack zu bekommen. Wie sieht das bei Veganer Wurst aus? Heute zum ersten Mal vegane Wurst von der Mühle gekauft. Ich bin gespannt! ","hallo zusamm vegetar produkt , z.b vegetar wurst , oft nachgesagt , chemi eingesetzt fleischgeschmack bekomm . sieht vegan wurst ? heut erst vegan wurst muhl gekauft . gespannt !",1
3230,"Mir geht es auch so. Ich habe nix gegen Veganer. Ich liebte eure Salami, weil sie die einzige Salami war, die schmeckte. Jetzt habt ihr diese vegan gemacht und sie schmeckt einfach nicht mehr. Leider sehr schade, dass alles vegan sein muss. Könnt ihr nicht eine vegane und vegetarische Variante haben? Leider für euch ein Kunde weniger.","geht . nix vegan . liebt salami , einzig salami , schmeckt . habt vegan gemacht schmeckt einfach nicht mehr . leid sehr schad , vegan . konnt nicht vegan vegetar variant ? leid kund wenig .",0
3231,vielen dank fuer dieses neu-vegane produkt! super von euch. ich freue mich darauf die anderen aufschnitt-alternativen in vegan zu probieren!,viel dank fuer neu-vegan produkt ! sup . freu darauf aufschnitt-alternativ vegan probi !,1
3232,"Ich liebe all eure veganen Produktevielen Dank für so viel Entwicklung in diesem Bereich! Packungseinheiten mit mehr Inhalt wären super (bitte, bitte !), so könnte man das ganze Plastik etwas reduzieren....bin nicht mehr die einzige in unserem Haushalt, die die veganen Produkte lecker findet ;)","lieb all vegan produkteviel dank entwickl bereich ! packungsein mehr inhalt war sup ( bitt , bitt ! ) , ganz plastik reduzi .... nicht mehr einzig haushalt , vegan produkt leck findet ; )",1
3233,"Ich fand die alte Variante super, diese vegan Salami schmeckt mir (und meinen Kindern) jedoch ganz und gar nicht. Schade.","fand alt variant sup , vegan salami schmeckt ( kind ) jedoch ganz gar nicht . schad .",0
3234,"Die leckerste Salami EVER! Die Alte mochte ich nicht. Seitdem ihr aber diese hier habt, kaufe ich regelmäßig die Regale leer. Frisches Bauerbrot, Gemüse-Brotaufstrich und vegane Rügenwalder Salami drauf...HEAVEN! ","leckerst salami ever ! alt mocht nicht . seitd habt , kauf regelmass regal leer . frisch bauerbrot , gemuse-brotaufstrich vegan rugenwald salami drauf ... heav !",1
3240,"Die schmeckt besser als die vorherige :D bin froh, dass sie endlich vegan ist","schmeckt bess vorher : d froh , endlich vegan",1
3241,"Die vegane Salami ist wirklich klasse! Es wär aber super, wenn ihr auch größere Packungen anbieten könntet, um den ganzen Plastikmüll zumindest zu reduzieren","vegan salami wirklich klass ! war sup , gross packung anbiet konntet , ganz plastikmull zumind reduzi",1
3242,"schmeckt sehr lecker, habe bisher keine bessere vegetarische oder vegane Salami gegessen","schmeckt sehr leck , bish bess vegetar vegan salami gegess",1
3244,Mega lecker  ich probiere heute die mal im Ofen zu machen als die veganen Cordon Bleu ,mega leck probi heut ofen vegan cordon bleu,1
3245,Ich liebe es so wie all eure veganen Produkte ! Etwas Schinken ähnliches wäre noch ganz super.. ,lieb all vegan produkt ! schink ahnlich war ganz sup ..,1
3247,So toll  - ich liebe den veganen Schinkenspicker mit Grillgemüse und die vegane Salami. Die vegane Teewurst habe ich bisher leider in keinem Supermarkt gefunden. Ich würde die sooooo gerne mal probieren. Macht weiter so!,toll - lieb vegan schinkenspick grillgemus vegan salami . vegan teewurst bish leid supermarkt gefund . sooooo gern probi . macht !,1
3248,"der Ansatz alles auf vegan umzustellen ist ja super, aber schaut euch bitte noch einmal die Konsistenz der veganen Variante an..  die ist leider im Vergleich zur Vegetarischen Salami gar nicht gut.","ansatz vegan umzustell ja sup , schaut bitt konsistenz vegan variant .. leid vergleich vegetar salami gar nicht gut .",0
3249,ich hoffe dass es die vegetarischen mini würstchen & frikadellen auch bald in vegan gibt  als vegetarier hab ich die geliebt!,hoff vegetar mini wurstch & frikadell bald vegan gibt vegetari geliebt !,1
3251,vegane Käsewürstchen wären auch noch total cool(Berner Würstchen) ,vegan kasewurstch war total cool ( bern wurstch ),1
3260,Gerade die veganen Salami probiert - so gut! Wir lieben all eure fleischfreien Produkte,gerad vegan salami probiert - gut ! lieb all fleischfrei produkt,1
3261,Macht doch bitte den vegetarischen Fleischsalat mal vegan!!! Das wär der Hammer  40 Wo.Antworten,macht bitt vegetar fleischsalat vegan ! ! ! war hamm 40 wo.antwort,1
3264," endlich, endlich, endlich gibt es die Salami und vegan. ","endlich , endlich , endlich gibt salami vegan .",1
3269,gibt es jetzt nur noch die veganer Salami liebe Wir finden nur noch diese in allen Supermärkten um uns herum und leider schmeckt sie uns im Gegensatz zur vegetarischen überhaupt nicht  Alles andere von euch ist immer  Nur die vegane Salami trifft in Sachen Geruch und Geschmack so gar nicht unseren Nerv  Danke sehr,gibt vegan salami lieb find supermarkt herum leid schmeckt gegensatz vegetar uberhaupt nicht imm vegan salami trifft sach geruch geschmack gar nicht nerv dank sehr,0
3270,"die vegane Salami hat irgendwie so eine komische Konsistenz, klebt irgendwie. Da war die Vegetarische besser. Aber schmeckt immer noch gut!","vegan salami irgendwi komisch konsistenz , klebt irgendwi . vegetar bess . schmeckt imm gut !",0
3271,"Für das perfekte vegane Abendbrot, bringen wir die Brote auf den Tisch. Ohne tierische Produkte, ohne Zusatz- und Konservierungsstoffe, ohne schlechtes Gewissen. ","perfekt vegan abendbrot , bring brot tisch . tierisch produkt , zusatz- konservierungsstoff , schlecht gewiss .",1
3277,"Probiert und für schlecht empfinden. Ich bin seit über 10 Jahren Vegetarierin und immer wenn ich ein Produkt gefunden habe, welches lecker war, wurde es vegan und... die Wurst hat mit Salami geschmacklich gar nichts mehr zu tun und die Konsistenz ist so labberig. Richtig schlimm und macht mich auch wütend. Die war doch davor super.","probiert schlecht empfind . seit 10 jahr vegetarierin imm produkt gefund , leck , wurd vegan ... wurst salami geschmack gar nicht mehr tun konsistenz labber . richtig schlimm macht wutend . davor sup .",0
3279,"War heute ausnahmsweise mal bei Kaufland unterwegs (statt wie sonst Globus oder gelegentlich Real) auf der Suche nach der neuen veganen Salami. Die beiden anderen Märkte in Kaiserslautern scheinen die vegane Salami (noch) nicht ins Sortiment aufgenommen zu haben. Daher dachte ich, schau ich mal bei Kaufland rein. Fazit: Beide Varianten leer gefegt.  Hatte mich schon sehr gefreut sie zu probieren nach den vielen positiven Kommentaren, die ich gelesen habe. Aber auf der anderen Seite sollte man wohl froh sein, dass sie so gut ankommt. ","heut ausnahmsweis kaufland unterweg ( statt globus gelegent real ) such neu vegan salami . beid markt kaiserslaut schein vegan salami ( ) nicht sortiment aufgenomm . dah dacht , schau kaufland rein . fazit : beid variant leer gefegt . schon sehr gefreut probi viel positiv kommentar , geles . seit wohl froh , gut ankommt .",1
